Monthly_Date,Yields
1999.0,0.029447936
1999.0833333333333,0.029839248
1999.1666666666667,0.0286792
1999.25,0.025353348
1999.3333333333333,0.025463232
1999.4166666666667,0.025781468
1999.5,0.025941908
1999.5833333333333,0.02727286
1999.6666666666667,0.026414476
1999.75,0.031001376
1999.8333333333333,0.032664216
1999.9166666666667,0.032646708
2000.0,0.034376952
2000.0833333333333,0.036202464
2000.1666666666667,0.03838886
2000.25,0.039872892
2000.3333333333333,0.0442247
2000.4166666666667,0.045306092
2000.5,0.0468165
2000.5833333333333,0.050358808
2000.6666666666667,0.050240884
2000.75,0.050665052
2000.8333333333333,0.050582728
2000.9166666666667,0.048817172
2001.0,0.047606912
2001.0833333333333,0.047831132
2001.1666666666667,0.045594696
2001.25,0.04809834
2001.3333333333333,0.04483274
2001.4166666666667,0.043768624
2001.5,0.044427004
2001.5833333333333,0.042423936
2001.6666666666667,0.036013388
2001.75,0.035063164
2001.8333333333333,0.032302736
2001.9166666666667,0.03172972
2002.0,0.033220336
2002.0833333333333,0.033516812
2002.1666666666667,0.033963968
2002.25,0.033923008
2002.3333333333333,0.034709524
2002.4166666666667,0.03456492
2002.5,0.032995932
2002.5833333333333,0.032768128
2002.6666666666667,0.031785692
2002.75,0.031759996
2002.8333333333333,0.028954328
2002.9166666666667,0.027295156
2003.0,0.027489424
2003.0833333333333,0.024369268
2003.1666666666667,0.024614684
2003.25,0.02414604
2003.3333333333333,0.02154564
2003.4166666666667,0.019498428
2003.5,0.020075756
2003.5833333333333,0.020226656
2003.6666666666667,0.019589788
2003.75,0.02047524
2003.8333333333333,0.02025776
2003.9166666666667,0.019541924
2004.0,0.019639368
2004.0833333333333,0.019110052
2004.1666666666667,0.018427512
2004.25,0.019748324
2004.3333333333333,0.020073876
2004.4166666666667,0.01985008
2004.5,0.020209088
2004.5833333333333,0.020671712
2004.6666666666667,0.020229832
2004.75,0.021093516
2004.8333333333333,0.02142412
2004.9166666666667,0.020705356
2005.0,0.020641432
2005.0833333333333,0.020656244
2005.1666666666667,0.020775204
2005.25,0.020840532
2005.3333333333333,0.020760812
2005.4166666666667,0.020486064
2005.5,0.020865192
2005.5833333333333,0.020796704
2005.6666666666667,0.021047032
2005.75,0.022269512
2005.8333333333333,0.024761472
2005.9166666666667,0.0248049
2006.0,0.025166344
2006.0833333333335,0.025541064
2006.1666666666667,0.026810724
2006.25,0.027262084
2006.3333333333335,0.02795832
2006.4166666666667,0.028483996
2006.5,0.030022208
2006.5833333333335,0.031441872
2006.6666666666667,0.033086664
2006.75,0.034338308
2006.8333333333335,0.035485504
2006.9166666666667,0.036127728
2007.0,0.037025
2007.0833333333335,0.037975664
2007.1666666666667,0.038821176
2007.25,0.03961526
2007.3333333333335,0.04028988
2007.4166666666667,0.04130992
2007.5,0.04138586
2007.5833333333335,0.039882888
2007.6666666666667,0.039194096
2007.75,0.040620384
2007.8333333333335,0.03996876
2007.9166666666667,0.04078094
2008.0,0.040218212
2008.0833333333335,0.040256872
2008.1666666666667,0.038349112
2008.25,0.038566948
2008.3333333333335,0.041323772
2008.4166666666667,0.043903968
2008.5,0.04511104
2008.5833333333335,0.044388008
2008.6666666666667,0.011136804
2008.75,0.021059168
2008.8333333333335,0.018982964
2008.9166666666667,0.014446488
2009.0,0.009354472
2009.0833333333335,0.00825184
2009.1666666666667,0.006289288
2009.25,0.00635362
2009.3333333333335,0.00839232
2009.4166666666667,0.00550754
2009.5,0.004949172
2009.5833333333335,0.003528056
2009.6666666666667,0.002979524
2009.75,0.003100816
2009.8333333333335,0.003710244
2009.9166666666667,0.002571564
2010.0,0.00257306
2010.0833333333335,0.003118956
2010.1666666666667,0.003239932
2010.25,0.00371136
2010.3333333333335,0.002007576
2010.4166666666667,0.002433896
2010.5,0.00419368
2010.5833333333335,0.0039687
2010.6666666666667,0.005149196
2010.75,0.008375532
2010.8333333333335,0.006231368
2010.9166666666667,0.004237648
2011.0,0.0072098
2011.0833333333335,0.007791792
2011.1666666666667,0.007855812
2011.25,0.010606416
2011.3333333333335,0.00995918
2011.4166666666667,0.012308128
2011.5,0.010111848
2011.5833333333335,0.002382608
2011.6666666666667,0.00225756
2011.75,0.003324316
2011.8333333333335,-0.001078232
2011.9166666666667,-0.000747248
2012.0,0.001001712
2012.0833333333335,0.001509076
2012.1666666666667,0.001217396
2012.25,0.000916224
2012.3333333333335,0.0007626
2012.4166666666667,0.0003656004
2012.5,-0.00028427
2012.5833333333335,0.000311772
2012.6666666666667,-0.0001017084
2012.75,0.000582168
2012.8333333333335,0.000455152
2012.9166666666667,0.000622204
